ID;Batch;Distance (µm);Sr:Ca_Avg
SL_53;Slåttersill;182.302943619135;2.60916620859021
SL_45;Slåttersill;182.302943619135;2.27898212010835
SL_54;Slåttersill;182.302943619135;2.65524876043582
SH31;Spring-spawning;184.4;2.07589146858579
SH32;Spring-spawning;184.4;2.07807099269911
SH_33;Spring-spawning;184.4;1.96592133304928
UP_11_4;Autumn-spawning;184.4;0.96630698867977
UP_11_9;Autumn-spawning;184.4;1.84386617384699
UP_11_5;Autumn-spawning;184.4;1.88421423271484
UP_11_6;Autumn-spawning;184.4;1.30534348419775
UP_11_18;Autumn-spawning;184.4;1.45837427974973
UP_11_7;Autumn-spawning;184.4;1.51136021261937
UP_11_8;Autumn-spawning;184.4;1.55071655155439
UP_11_14;Autumn-spawning;184.4;1.6874258014544
SH_29;Spring-spawning;185.64;2.37355361788353
SH_27;Spring-spawning;185.64;2.04319654629753
SH_26;Spring-spawning;185.64;2.36652059659375
SH_25;Spring-spawning;185.64;2.6277537471263
SH_23;Spring-spawning;185.64;2.06821797264387
SH_22;Spring-spawning;185.64;2.41478232573853
SL57;Slåttersill;185.64;2.51593146003267
SL_63;Slåttersill;185.64;2.70420547090841
SL_58;Slåttersill;185.64;2.15124242495585
SL_66;Slåttersill;185.64;2.61872194959353
SL_65;Slåttersill;185.64;2.33312735579467
SL_62;Slåttersill;185.64;2.28893084369052
SH_21;Spring-spawning;185.64;2.2642180909399
SH31;Spring-spawning;195.925;2.12976772838354
SH32;Spring-spawning;195.925;2.01705049422172
SH_33;Spring-spawning;195.925;1.91317994202273
UP_11_4;Autumn-spawning;195.925;1.02593249644123
UP_11_9;Autumn-spawning;195.925;1.84676660067877
UP_11_5;Autumn-spawning;195.925;1.80817792323319
UP_11_6;Autumn-spawning;195.925;1.27580718070601
UP_11_18;Autumn-spawning;195.925;1.42435391112792
UP_11_7;Autumn-spawning;195.925;1.47986146868171
UP_11_8;Autumn-spawning;195.925;1.62280361109798
UP_11_14;Autumn-spawning;195.925;1.76056376631058
SH_29;Spring-spawning;196.56;2.33913193339514
SH_27;Spring-spawning;196.56;2.05892236361586
SH_26;Spring-spawning;196.56;2.46202072819217
SH_25;Spring-spawning;196.56;2.58131207839705
SH_23;Spring-spawning;196.56;2.07055345618914
SH_22;Spring-spawning;196.56;2.43929096841524
SL57;Slåttersill;196.56;2.48217198884248
SL_63;Slåttersill;196.56;2.7413624997881
SL_58;Slåttersill;196.56;2.16163804751235
SL_66;Slåttersill;196.56;2.61043151520176
SL_65;Slåttersill;196.56;2.26028482168821
SL_62;Slåttersill;196.56;2.28777628864564
SH_21;Spring-spawning;196.56;2.28302386452069
SH31;Spring-spawning;207.45;2.10956929089064
SH32;Spring-spawning;207.45;1.93224433160519
SH_33;Spring-spawning;207.45;1.8964245951501
UP_11_4;Autumn-spawning;207.45;1.11442853018439
UP_11_9;Autumn-spawning;207.45;1.8158786041762
UP_11_5;Autumn-spawning;207.45;1.71558250757137
UP_11_6;Autumn-spawning;207.45;1.23750011854788
UP_11_18;Autumn-spawning;207.45;1.40020793347388
UP_11_7;Autumn-spawning;207.45;1.67040218528821
UP_11_8;Autumn-spawning;207.45;1.76169470251062
UP_11_14;Autumn-spawning;207.45;1.80176457058439
SH_29;Spring-spawning;207.48;2.26052547368115
SH_27;Spring-spawning;207.48;2.10038386849271
SH_26;Spring-spawning;207.48;2.58064651761327
SH_25;Spring-spawning;207.48;2.53840061301223
SH_23;Spring-spawning;207.48;2.07175196274717
SH_22;Spring-spawning;207.48;2.43203730284832
SL57;Slåttersill;207.48;2.43032945532554
SL_63;Slåttersill;207.48;2.75475014275513
SL_58;Slåttersill;207.48;2.16028720403616
SL_66;Slåttersill;207.48;2.52947412344515
SL_65;Slåttersill;207.48;2.25884299709578
SL_62;Slåttersill;207.48;2.28532914564129
SH_21;Spring-spawning;207.48;2.23861375073111
SL-51;Slåttersill;208.346221279011;2.33763432859335
SL_53;Slåttersill;208.346221279011;2.5192496325235
SL_45;Slåttersill;208.346221279011;2.31468162173689
SL_54;Slåttersill;208.346221279011;2.79661889381601
SH_29;Spring-spawning;218.4;2.2111817381842
SH_27;Spring-spawning;218.4;2.0932708336515
SH_26;Spring-spawning;218.4;2.654022126333
SH_25;Spring-spawning;218.4;2.48492765558947
SH_23;Spring-spawning;218.4;2.04905717220417
SH_22;Spring-spawning;218.4;2.43227321847918
SL57;Slåttersill;218.4;2.18780056302634
SL_63;Slåttersill;218.4;2.72220083595616
SL_58;Slåttersill;218.4;2.19379019042407
SL_66;Slåttersill;218.4;2.53112380683978
SL_65;Slåttersill;218.4;2.28015181310915
SL_62;Slåttersill;218.4;2.26520698235889
SH_21;Spring-spawning;218.4;2.21141156684566
SH31;Spring-spawning;218.975;2.18388589250149
SH32;Spring-spawning;218.975;1.89559328851035
SH_33;Spring-spawning;218.975;1.94185828170746
UP_11_4;Autumn-spawning;218.975;1.18739904718279
UP_11_9;Autumn-spawning;218.975;1.84007199409295
UP_11_5;Autumn-spawning;218.975;1.72173378894514
UP_11_6;Autumn-spawning;218.975;1.23900403726405
UP_11_18;Autumn-spawning;218.975;1.38625433708499
UP_11_7;Autumn-spawning;218.975;1.76682632585745
UP_11_8;Autumn-spawning;218.975;1.84227611578125
